alpha,beta,mean_steps,time_sec
0.500000,0.500000,200.000000,4.435321
4.000000,0.500000,182.800003,3.716017
7.500000,0.500000,160.100006,3.145778
11.000000,0.500000,176.199997,3.340272
14.500000,0.500000,179.000000,3.761862
18.000000,0.500000,174.199997,3.887881
21.500000,0.500000,176.899994,3.635805
25.000000,0.500000,173.899994,3.522560
0.500000,4.000000,200.000000,3.911668
4.000000,4.000000,188.100006,4.613552
7.500000,4.000000,183.399994,3.743799
11.000000,4.000000,171.899994,4.130692
14.500000,4.000000,162.199997,3.386355
18.000000,4.000000,184.500000,3.487220
21.500000,4.000000,190.100006,3.708585
25.000000,4.000000,193.899994,3.953326
0.500000,7.500000,196.699997,3.643789
4.000000,7.500000,186.500000,3.817383
7.500000,7.500000,162.199997,3.293258
11.000000,7.500000,152.899994,3.046896
14.500000,7.500000,166.000000,3.227294
18.000000,7.500000,157.000000,3.094339
21.500000,7.500000,176.800003,3.461351
25.000000,7.500000,173.800003,3.242583
0.500000,11.000000,200.000000,4.145909
4.000000,11.000000,182.199997,3.457208
7.500000,11.000000,191.800003,3.676872
11.000000,11.000000,168.899994,3.423250
14.500000,11.000000,168.600006,3.325467
18.000000,11.000000,158.300003,3.014041
21.500000,11.000000,180.800003,3.864746
25.000000,11.000000,160.899994,3.040397
0.500000,14.500000,200.000000,3.820701
4.000000,14.500000,161.399994,3.128898
7.500000,14.500000,185.100006,3.499542
11.000000,14.500000,174.399994,3.359631
14.500000,14.500000,160.300003,3.311861
18.000000,14.500000,159.399994,3.097984
21.500000,14.500000,180.600006,3.360364
25.000000,14.500000,166.199997,3.382171
0.500000,18.000000,200.000000,3.743668
4.000000,18.000000,193.800003,3.754804
7.500000,18.000000,165.600006,3.566036
11.000000,18.000000,159.600006,4.913190
14.500000,18.000000,153.500000,5.557167
18.000000,18.000000,189.100006,6.140571
21.500000,18.000000,165.300003,3.885252
25.000000,18.000000,180.100006,3.512697
0.500000,21.500000,200.000000,4.064742
4.000000,21.500000,177.100006,3.491101
7.500000,21.500000,172.000000,3.257004
11.000000,21.500000,170.199997,3.403592
14.500000,21.500000,180.000000,3.454098
18.000000,21.500000,176.399994,3.262509
21.500000,21.500000,195.100006,3.969708
25.000000,21.500000,184.399994,3.526549
0.500000,25.000000,192.100006,3.797827
4.000000,25.000000,181.899994,3.596926
7.500000,25.000000,173.500000,3.191398
11.000000,25.000000,187.199997,3.593849
14.500000,25.000000,182.500000,3.645779
18.000000,25.000000,155.899994,2.848970
21.500000,25.000000,178.199997,3.449322
25.000000,25.000000,177.699997,3.576982
